load_scale,peak_rate,p,seat_effective_util,seat_turnover_per_hour,abandon_ratio,seat_wait_mean,food_wait_mean,seat_idle_pre_util
1.1,26.400000000000002,0.4,0.758878169580174,3.3020000000000005,0.11353323387636445,8.902713171134762,0.6519042632023526,0.031053219528102215
1.1,26.400000000000002,0.5,0.7599117511952798,3.3050000000000006,0.11275091347000532,8.960387887913125,0.29038023172280786,0.030250771270230903
1.1,26.400000000000002,0.6,0.7603669356503024,3.3063333333333333,0.11238852361653158,8.99284421055059,0.1323787661402386,0.032240468982248735
1.1,26.400000000000002,0.7,0.7597197071186932,3.303666666666666,0.11312426591589624,9.023628026007305,0.08505762232477562,0.035951205669605454
1.1,26.400000000000002,0.8,0.758587521031931,3.2990000000000004,0.11436835491406191,9.052049504219811,0.06077370915674768,0.04045981812053483
1.1,26.400000000000002,0.9,0.7576100463972806,3.2950000000000004,0.11546216588717728,9.08176225770428,0.04249213443481364,0.04484207148607385
1.1,26.400000000000002,1.0,0.7559856425005027,3.288333333333333,0.11724733901807922,9.105334764856675,0.038578182776403,0.049761250757302734
1.15,27.599999999999998,0.0,0.8193836146339197,3.6440000000000006,0.0658391407626325,8.03708994619262,3.933327269800246,0.0
1.15,27.599999999999998,0.1,0.7967226400920276,3.5313333333333334,0.09460182406004983,8.720490718357729,3.2493726002693593,0.022368647124374374
1.15,27.599999999999998,0.2,0.7789852830358295,3.428000000000001,0.12093640652467057,9.038225636204007,2.509514917022453,0.03483128008816514
1.15,27.599999999999998,0.3,0.7673098321411622,3.3579999999999997,0.1387597379677302,9.262795835694057,1.6147839031104634,0.03897415339570118
1.15,27.599999999999998,0.4,0.7625247312572705,3.324666666666667,0.14722974742334488,9.339984867101842,0.9297707932323671,0.037095811230976716
1.15,27.599999999999998,0.5,0.7643415979084481,3.3280000000000003,0.14636508260314396,9.386820016551848,0.40774094431977204,0.03343599596416329
1.15,27.599999999999998,0.6,0.7670459323781603,3.339666666666667,0.14341027349884758,9.430417866519127,0.18354714907232003,0.03389029562057909
1.15,27.599999999999998,0.7,0.7668209129465893,3.338666666666667,0.1436684125339538,9.452459050094566,0.09758889839837842,0.03667908893406384
